Order_ID,Date,Product,Category,Quantity,Price,City
1001,2024-01-05,Laptop,Electronics,2,1200.0,Baku
1002,2024-01-06,Mouse,Electronics, 5 ,25.0,Ganja
1003,2024-01-06,Keyboard,Electronics,3,45.0,Sumgait
1004,2024-01-08,Chair,Furniture,2,150$,Baku
1005,2024-01-10,Desk,Furniture,1,300.0,Ganja
1006,2024-01-12,Notebook,Stationery,10,5.0,Baku
1007,2024-01-13,Pen,Stationery,20,2.0,Sumgait
1008,2024-01-15,Monitor,Electronics,2,350.0,Baku
1009,2024-01-18,Printer,Electronics,1,250.0,Ganja
1010,2024-01-20,Lamp,Furniture,4,40.0,Baku
2000,2024-01-06,KEYBOARD,electronics,3,,
2001,2024-01-06,keyboard,Electronics,3,45.0,Sumgait
2002,2024-01-10,DESK,Furniture,1,300.0,Ganja
2003,2024-01-12,notebook,Stationery,10,5.0,
2004,2024-01-08,CHAIR,furniture,2,150.0,Baku
2005,2024-01-20,lamp,Furniture,4,,Baku
2006,2024-01-18,PRINTER,Electronics,1,250.0,
2007,2024-01-18,printer,Electronics,1,250.0,Ganja
2008,2024-01-18,PRINTER,electronics,1,250.0,Ganja
2009,2024-01-18,printer,Electronics,1,250.0,
2010,2024-01-18,PRINTER,Electronics,1,,Ganja
2011,2024-01-15,monitor,Electronics,2,350.0,Baku
2012,2024-01-12,NOTEBOOK,stationery,10,5.0,
2013,2024-01-08,chair,Furniture,2,150.0,Baku
2014,2024-01-08,CHAIR,Furniture,2,150.0,Baku
2015,2024-01-06,keyboard,Electronics,3,,
2016,2024-01-13,PEN,stationery,20,2.0,Sumgait
2017,2024-01-15,monitor,Electronics,2,350.0,Baku
2018,2024-01-15,MONITOR,Electronics,2,350.0,
2019,2024-01-06,mouse,Electronics,5,25.0,Ganja
1003,2024-01-06,Keyboard,Electronics,3,45.0,Sumgait
1006,2024-01-12,Notebook,Stationery,10,5.0,Baku
